,,,Demand,Solar,Wind,Hydro
2030,sc01,03-15 14:00:00+01:00,1391.825211,956.8,8,153
2030,sc01,03-15 15:00:00+01:00,1430.99332,971.201,2,153
2030,sc01,03-15 16:00:00+01:00,1488.775978,415.602,8.4,158.4
2030,sc01,03-15 17:00:00+01:00,1557.804923,0.02,0.004,153
2030,sc01,03-15 18:00:00+01:00,1580.685304,0.02,0.004,153
2030,sc01,03-15 19:00:00+01:00,1543.844013,0.02,0.004,158.4
2030,sc01,03-15 20:00:00+01:00,1497.307645,0.02,67.2,105
2030,sc01,03-15 21:00:00+01:00,1394.539831,0.02,0.4,76.2
2030,sc01,03-15 22:00:00+01:00,1289.057397,0.02,0.004,73.8
2030,sc01,03-15 23:00:00+01:00,1235.928377,0.02,0.004,76.2
2030,sc01,03-16 00:00:00+01:00,1202.577313,0.02,0.004,96
2030,sc01,03-16 01:00:00+01:00,1175.431099,0.02,0.004,107.4
2030,sc01,03-16 02:00:00+01:00,1160.306778,0.02,0.004,153
2030,sc01,03-16 03:00:00+01:00,1183.574963,0.02,46.4,155.4
2030,sc01,03-16 04:00:00+01:00,1225.069891,0.02,132,153
2030,sc01,03-16 05:00:00+01:00,1306.120732,0.02,438.4,150
2030,sc01,03-16 06:00:00+01:00,1366.230208,629.201,734.8,155.4
2030,sc01,03-16 07:00:00+01:00,1386.783771,1079.2,898.8,153
2030,sc01,03-16 08:00:00+01:00,1375.537481,1226,893.2,158.4
2030,sc01,03-16 09:00:00+01:00,1334.042553,1460.4,505.6,153
2030,sc01,03-16 10:00:00+01:00,1289.057397,1548,434.8,155.4
2030,sc01,03-16 11:00:00+01:00,1244.072242,1435.6,678.8,153
2030,sc01,03-16 12:00:00+01:00,1201.026101,1021.2,961.2,155.4
2030,sc01,03-16 13:00:00+01:00,1163.0214,1107.2,1217.6,153
2030,sc01,03-16 14:00:00+01:00,1146.345869,946.4,1580.4,158.4
2030,sc01,03-16 15:00:00+01:00,1156.428748,984.801,1604,153
2030,sc01,03-16 16:00:00+01:00,1201.413904,485.601,1300.4,155.4
2030,sc01,03-16 17:00:00+01:00,1314.6524,0.02,316.4,153
2030,sc01,03-16 18:00:00+01:00,1434.095744,0.02,51.6,153
2030,sc01,03-16 19:00:00+01:00,1435.259154,0.02,14.8,155.4
2030,sc01,03-16 20:00:00+01:00,1379.415512,0.02,0.004,153
2030,sc01,03-16 21:00:00+01:00,1275.872093,0.02,0.004,150
2030,sc01,03-16 22:00:00+01:00,1180.860341,0.02,0.004,150
2030,sc01,03-16 23:00:00+01:00,1145.182459,0.02,0.004,155.4
2030,sc01,03-17 00:00:00+01:00,1130.058139,0.02,0.004,93.6
2030,sc01,03-17 01:00:00+01:00,1136.650792,0.02,0.004,76.2
2030,sc01,03-17 02:00:00+01:00,1155.653141,0.02,0.004,79.2
2030,sc01,03-17 03:00:00+01:00,1212.660193,0.02,0.004,82.2
2030,sc01,03-17 04:00:00+01:00,1348.391266,0.02,0.004,155.4
2030,sc01,03-17 05:00:00+01:00,1550.048862,0.02,0.004,150
2030,sc01,03-17 06:00:00+01:00,1600.075457,636,0.004,155.4
2030,sc01,03-17 07:00:00+01:00,1500.797872,1066.8,0.004,214.8
2030,sc01,03-17 08:00:00+01:00,1401.520287,1342.8,0.004,232.2
2030,sc01,03-17 09:00:00+01:00,1350.718085,1484.4,93.6,232.2
2030,sc01,03-17 10:00:00+01:00,1302.630505,1571.2,70,229.2
2030,sc01,03-17 11:00:00+01:00,1261.52338,1642,0.004,232.2
2030,sc01,03-17 12:00:00+01:00,1222.743073,1625.2,279.6,164.4
2030,sc01,03-17 13:00:00+01:00,1195.596858,1574.8,472,155.4
2030,sc01,03-17 14:00:00+01:00,1192.494434,1476.8,365.6,153
2030,sc01,03-17 15:00:00+01:00,1190.555418,1114.8,244,153
2030,sc01,03-17 16:00:00+01:00,1216.538224,525.2,118,155.4
2030,sc01,03-17 17:00:00+01:00,1312.713384,0.02,50,153
2030,sc01,03-17 18:00:00+01:00,1439.137184,0.02,20.4,155.4
2030,sc01,03-17 19:00:00+01:00,1418.971425,0.02,182,153
2030,sc01,03-17 20:00:00+01:00,1378.252103,0.02,1221.2,153
2030,sc01,03-17 21:00:00+01:00,1266.564819,0.02,2453.6,158.4
2030,sc01,03-17 22:00:00+01:00,1162.245795,0.02,2680.8,144.6
2030,sc01,03-17 23:00:00+01:00,1125.016699,0.02,2684.8,76.2
2030,sc01,03-18 00:00:00+01:00,1109.504576,0.02,2765.2,76.2
2030,sc01,03-18 01:00:00+01:00,1114.93382,0.02,2783.2,76.2
2030,sc01,03-18 02:00:00+01:00,1131.221549,0.02,2728.4,76.2
2030,sc01,03-18 03:00:00+01:00,1193.657842,0.02,2684.4,93.6
2030,sc01,03-18 04:00:00+01:00,1329.001113,0.02,2645.6,155.4
2030,sc01,03-18 05:00:00+01:00,1522.127042,0.02,2642.4,153
2030,sc01,03-18 06:00:00+01:00,1551.212272,648,2742,153
2030,sc01,03-18 07:00:00+01:00,1435.259154,1089.6,2123.2,158.4
2030,sc01,03-18 08:00:00+01:00,1335.205962,1383.2,1852,226.2
2030,sc01,03-18 09:00:00+01:00,1284.40376,1533.6,1086,235.2
2030,sc01,03-18 10:00:00+01:00,1243.684439,1640,191.6,229.2
2030,sc01,03-18 11:00:00+01:00,1221.967467,1647.2,42.4,229.2
2030,sc01,03-18 12:00:00+01:00,1200.250494,1610,63.2,232.2
2030,sc01,03-18 13:00:00+01:00,1190.167615,1551.2,2.8,164.4
2030,sc01,03-18 14:00:00+01:00,1183.18716,1415.6,3.2,153
2030,sc01,03-18 15:00:00+01:00,1184.738373,1078.8,116.8,155.4
2030,sc01,03-18 16:00:00+01:00,1208.39436,510.4,653.2,153
2030,sc01,03-18 17:00:00+01:00,1297.976868,0.02,333.6,198
2030,sc01,03-18 18:00:00+01:00,1384.069149,0.02,93.2,232.2
2030,sc01,03-18 19:00:00+01:00,1353.044903,0.02,0.004,229.2
2030,sc01,03-18 20:00:00+01:00,1296.037853,0.02,0.004,155.4
2030,sc01,03-18 21:00:00+01:00,1185.126175,0.02,0.004,135.6
2030,sc01,03-18 22:00:00+01:00,1078.868135,0.02,13.2,96
2030,sc01,03-18 23:00:00+01:00,1033.107373,0.02,328,79.2
2030,sc01,03-19 00:00:00+01:00,1013.717219,0.02,159.6,79.2
2030,sc01,03-19 01:00:00+01:00,1002.083127,0.02,1062.8,76.2
2030,sc01,03-19 02:00:00+01:00,1009.451386,0.02,813.2,82.2
2030,sc01,03-19 03:00:00+01:00,1054.824344,0.02,785.6,99
2030,sc01,03-19 04:00:00+01:00,1166.899432,0.02,661.2,144.6
2030,sc01,03-19 05:00:00+01:00,1323.57187,0.02,509.6,158.4
2030,sc01,03-19 06:00:00+01:00,1362.73998,652.4,253.2,155.4
2030,sc01,03-19 07:00:00+01:00,1301.079293,1120.8,51.2,229.2
2030,sc01,03-19 08:00:00+01:00,1261.52338,1426.8,16.8,232.2
2030,sc01,03-19 09:00:00+01:00,1246.399059,1581.6,0.004,235.2
2030,sc01,03-19 10:00:00+01:00,1223.906482,1652.8,6.8,232.2
2030,sc01,03-19 11:00:00+01:00,1220.416254,1647.6,86,232.2
2030,sc01,03-19 12:00:00+01:00,1209.945572,1623.6,476.4,232.2
2030,sc01,03-19 13:00:00+01:00,1203.740723,1549.6,344.8,232.2
2030,sc01,03-19 14:00:00+01:00,1199.087086,1386.4,171.2,232.2
2030,sc01,03-19 15:00:00+01:00,1201.413904,1095.2,0.4,229.2
2030,sc01,03-19 16:00:00+01:00,1205.679738,531.2,322.4,150
2030,sc01,03-19 17:00:00+01:00,1275.48429,0.02,26.4,153
2030,sc01,03-19 18:00:00+01:00,1359.637556,0.02,57.2,150
2030,sc01,03-19 19:00:00+01:00,1342.186418,0.02,1150.4,150
2030,sc01,03-19 20:00:00+01:00,1297.976868,0.02,1120.4,150
2030,sc01,03-19 21:00:00+01:00,1176.206704,0.02,1552.4,153
2030,sc01,03-19 22:00:00+01:00,1077.704726,0.02,1648,150
2030,sc01,03-19 23:00:00+01:00,1031.943963,0.02,1857.2,87.6
2030,sc01,03-20 00:00:00+01:00,1012.166007,0.02,2257.2,79.2
2030,sc01,03-20 01:00:00+01:00,1011.002598,0.02,1735.6,79.2
2030,sc01,03-20 02:00:00+01:00,1021.473281,0.02,1324.4,76.2
2030,sc01,03-20 03:00:00+01:00,1079.643741,0.02,1120,153
2030,sc01,03-20 04:00:00+01:00,1199.087086,0.02,2223.6,155.4
2030,sc01,03-20 05:00:00+01:00,1349.554676,0.02,2128.4,172.8
2030,sc01,03-20 06:00:00+01:00,1395.315438,659.2,1938,229.2
2030,sc01,03-20 07:00:00+01:00,1332.103538,1053.2,1314,229.2
2030,sc01,03-20 08:00:00+01:00,1275.872093,1300,1474.4,226.2
2030,sc01,03-20 09:00:00+01:00,1252.991713,1424.8,799.2,232.2
2030,sc01,03-20 10:00:00+01:00,1237.479589,1494,835.2,229.2
2030,sc01,03-20 11:00:00+01:00,1221.967467,1512.4,793.6,226.2
2030,sc01,03-20 12:00:00+01:00,1207.23095,1456.4,923.2,226.2
2030,sc01,03-20 13:00:00+01:00,1201.413904,1365.2,1005.2,217.8
2030,sc01,03-20 14:00:00+01:00,1195.984661,1188.8,1388.4,153
2030,sc01,03-20 15:00:00+01:00,1199.087086,900,1668.4,155.4
2030,sc01,03-20 16:00:00+01:00,1218.477239,420.4,1514.8,153
2030,sc01,03-20 17:00:00+01:00,1284.40376,0.02,1545.6,158.4
2030,sc01,03-20 18:00:00+01:00,1372.047254,0.02,768,198
2030,sc01,03-20 19:00:00+01:00,1347.615661,0.02,751.2,229.2
2030,sc01,03-20 20:00:00+01:00,1296.037853,0.02,1393.2,223.8
2030,sc01,03-20 21:00:00+01:00,1181.635948,0.02,1955.6,229.2
2030,sc01,03-20 22:00:00+01:00,1078.092528,0.02,1349.6,223.8
2030,sc01,03-20 23:00:00+01:00,1025.351311,0.02,2272.8,232.2
2030,sc01,03-21 00:00:00+01:00,1010.614795,0.02,2286.8,99
2030,sc01,03-21 01:00:00+01:00,1006.736764,0.02,1385.2,85.2
2030,sc01,03-21 02:00:00+01:00,1014.492825,0.02,234.4,79.2
2030,sc01,03-21 03:00:00+01:00,1051.334117,0.02,630.8,76.2
2030,sc01,03-21 04:00:00+01:00,1152.550718,0.02,752.8,82.2
2030,sc01,03-21 05:00:00+01:00,1296.813459,0.02,353.2,220.8
2030,sc01,03-21 06:00:00+01:00,1341.410812,606.804,57.6,229.2
2030,sc01,03-21 07:00:00+01:00,1310.386567,1024.401,23.2,226.2
2030,sc01,03-21 08:00:00+01:00,1261.911182,1307.6,192.8,226.2
2030,sc01,03-21 09:00:00+01:00,1247.174666,1472.8,174,229.2
2030,sc01,03-21 10:00:00+01:00,1233.601558,1585.2,186.8,232.2
2030,sc01,03-21 11:00:00+01:00,1225.069891,1607.2,332,232.2
2030,sc01,03-21 12:00:00+01:00,1208.39436,1582.4,150,232.2
2030,sc01,03-21 13:00:00+01:00,1196.372464,1519.2,34.4,232.2
2030,sc01,03-21 14:00:00+01:00,1191.718827,1352.8,24.4,229.2
2030,sc01,03-21 15:00:00+01:00,1190.167615,1055.203,14.8,235.2
2030,sc01,03-21 16:00:00+01:00,1197.535874,533.604,162.8,229.2
2030,sc01,03-21 17:00:00+01:00,1235.928377,0.02,126.8,229.2
2030,sc01,03-21 18:00:00+01:00,1304.957323,0.02,0.004,195
2030,sc01,03-21 19:00:00+01:00,1282.852548,0.02,184.8,158.4
2030,sc01,03-21 20:00:00+01:00,1246.011257,0.02,0.004,153
2030,sc01,03-21 21:00:00+01:00,1166.899432,0.02,339.6,144.6
2030,sc01,03-21 22:00:00+01:00,1075.76571,0.02,559.6,76.2
2030,sc01,03-21 23:00:00+01:00,1029.617145,0.02,1030,76.2
2030,sc01,03-22 00:00:00+01:00,1008.675779,0.02,1316.4,76.2
2030,sc01,03-22 01:00:00+01:00,991.6124444,0.02,1100,79.2
2030,sc01,03-22 02:00:00+01:00,986.5710045,0.02,1248.4,76.2
2030,sc01,03-22 03:00:00+01:00,1000.144112,0.02,1184,79.2
2030,sc01,03-22 04:00:00+01:00,1035.046388,0.02,746.4,76.2
2030,sc01,03-22 05:00:00+01:00,1098.646091,0.02,0.8,79.2
2030,sc01,03-22 06:00:00+01:00,1145.182459,497.204,0.004,79.2
2030,sc01,03-22 07:00:00+01:00,1189.779812,1004.402,30.4,79.2
2030,sc01,03-22 08:00:00+01:00,1223.130876,1394,149.6,153
2030,sc01,03-22 09:00:00+01:00,1219.252845,1451.2,527.6,155.4
2030,sc01,03-22 10:00:00+01:00,1210.333375,1334.8,766.4,155.4
2030,sc01,03-22 11:00:00+01:00,1183.962766,983.2,1252,161.4
2030,sc01,03-22 12:00:00+01:00,1154.877536,832.4,1862,232.2
2030,sc01,03-22 13:00:00+01:00,1133.160564,787.6,2058.8,226.2
2030,sc01,03-22 14:00:00+01:00,1124.241094,623.2,2015.2,232.2
2030,sc01,03-22 15:00:00+01:00,1128.894731,799.201,1671.2,226.2
2030,sc01,03-22 16:00:00+01:00,1157.592158,452.404,1343.6,232.2
2030,sc01,03-22 17:00:00+01:00,1213.823602,0.02,990.8,204
2030,sc01,03-22 18:00:00+01:00,1306.896338,0.02,548.8,138.6
2030,sc01,03-22 19:00:00+01:00,1284.015957,0.02,592.4,79.2
2030,sc01,03-22 20:00:00+01:00,1231.662543,0.02,1007.2,76.2
2030,sc01,03-22 21:00:00+01:00,1160.694582,0.02,807.6,76.2
2030,sc01,03-22 22:00:00+01:00,1092.053439,0.02,756.4,76.2
2030,sc01,03-22 23:00:00+01:00,1056.76336,0.02,510.4,76.2
2030,sc01,03-23 00:00:00+01:00,1049.782905,0.02,238.8,73.8
2030,sc01,03-23 01:00:00+01:00,1043.190252,0.02,127.2,76.2
2030,sc01,03-23 02:00:00+01:00,1046.292677,0.02,96.4,79.2
2030,sc01,03-23 03:00:00+01:00,1055.212147,0.02,154.8,79.2
2030,sc01,03-23 04:00:00+01:00,1087.787605,0.02,127.6,79.2
2030,sc01,03-23 05:00:00+01:00,1144.01905,0.02,99.6,79.2
2030,sc01,03-23 06:00:00+01:00,1189.004206,350.003,149.2,113.4
2030,sc01,03-23 07:00:00+01:00,1259.196561,579.6,52,153
2030,sc01,03-23 08:00:00+01:00,1300.69149,630.4,22.8,153
2030,sc01,03-23 09:00:00+01:00,1304.56952,741.2,91.2,155.4
2030,sc01,03-23 10:00:00+01:00,1275.096486,636.4,46.4,153
2030,sc01,03-23 11:00:00+01:00,1248.338075,605.6,12.8,155.4
2030,sc01,03-23 12:00:00+01:00,1227.396709,737.6,29.2,232.2
2030,sc01,03-23 13:00:00+01:00,1215.762617,584,37.6,232.2
2030,sc01,03-23 14:00:00+01:00,1223.130876,507.6,44.4,232.2
2030,sc01,03-23 15:00:00+01:00,1242.908832,518,64.4,232.2
2030,sc01,03-23 16:00:00+01:00,1283.240352,193.206,61.6,229.2
2030,sc01,03-23 17:00:00+01:00,1360.025359,0.02,68,223.8
2030,sc01,03-23 18:00:00+01:00,1451.546883,0.02,110,220.8
2030,sc01,03-23 19:00:00+01:00,1448.444458,0.02,39.2,223.8
2030,sc01,03-23 20:00:00+01:00,1375.925285,0.02,6.8,226.2
2030,sc01,03-23 21:00:00+01:00,1256.094137,0.02,6.8,220.8
2030,sc01,03-23 22:00:00+01:00,1157.97996,0.02,63.2,184.2
2030,sc01,03-23 23:00:00+01:00,1109.116774,0.02,60.4,79.2
2030,sc01,03-24 00:00:00+01:00,1089.726621,0.02,81.6,76.2
2030,sc01,03-24 01:00:00+01:00,1081.970559,0.02,51.6,76.2
2030,sc01,03-24 02:00:00+01:00,1084.297378,0.02,38.4,79.2
2030,sc01,03-24 03:00:00+01:00,1138.589807,0.02,39.6,79.2
2030,sc01,03-24 04:00:00+01:00,1255.706333,0.02,0.004,85.2
2030,sc01,03-24 05:00:00+01:00,1418.195819,0.02,0.004,155.4
2030,sc01,03-24 06:00:00+01:00,1457.751732,684.404,0.004,158.4
2030,sc01,03-24 07:00:00+01:00,1406.173924,1089.602,8.4,229.2
2030,sc01,03-24 08:00:00+01:00,1360.025359,1342.8,10.8,232.2
2030,sc01,03-24 09:00:00+01:00,1322.020658,1497.6,75.6,229.2
2030,sc01,03-24 10:00:00+01:00,1293.323231,1644.4,9.2,232.2
2030,sc01,03-24 11:00:00+01:00,1264.625804,1679.6,5.2,229.2
2030,sc01,03-24 12:00:00+01:00,1240.582014,1653.6,0.004,229.2
2030,sc01,03-24 13:00:00+01:00,1229.335725,1577.2,2,232.2
2030,sc01,03-24 14:00:00+01:00,1219.252845,1442,0.004,229.2
2030,sc01,03-24 15:00:00+01:00,1216.538224,1058.003,0.004,229.2
2030,sc01,03-24 16:00:00+01:00,1253.379515,530.004,0.004,232.2
2030,sc01,03-24 17:00:00+01:00,1323.959673,0.02,0.004,229.2
2030,sc01,03-24 18:00:00+01:00,1424.012865,0.02,0.004,232.2
2030,sc01,03-24 19:00:00+01:00,1402.295893,0.02,0.004,232.2
2030,sc01,03-24 20:00:00+01:00,1346.452251,0.02,77.6,232.2
2030,sc01,03-24 21:00:00+01:00,1229.723528,0.02,411.6,232.2
2030,sc01,03-24 22:00:00+01:00,1125.792306,0.02,1442.8,235.2
2030,sc01,03-24 23:00:00+01:00,1076.929119,0.02,1739.2,232.2
2030,sc01,03-25 00:00:00+01:00,1059.090178,0.02,1803.6,107.4
2030,sc01,03-25 01:00:00+01:00,1055.987754,0.02,1485.2,96
2030,sc01,03-25 02:00:00+01:00,1073.438892,0.02,1084.8,96
2030,sc01,03-25 03:00:00+01:00,1118.81185,0.02,882.8,93.6
2030,sc01,03-25 04:00:00+01:00,1230.886938,0.02,773.2,93.6
2030,sc01,03-25 05:00:00+01:00,1377.8643,0.02,455.2,217.8
2030,sc01,03-25 06:00:00+01:00,1408.500742,666.4,204.8,232.2
2030,sc01,03-25 07:00:00+01:00,1361.964374,1005.601,108.8,235.2
2030,sc01,03-25 08:00:00+01:00,1308.059748,1153.2,19.6,232.2
2030,sc01,03-25 09:00:00+01:00,1290.220807,1224.4,0.004,232.2
2030,sc01,03-25 10:00:00+01:00,1271.606259,1151.2,0.004,229.2
2030,sc01,03-25 11:00:00+01:00,1260.35997,1202,0.004,223.8
2030,sc01,03-25 12:00:00+01:00,1259.196561,1488.8,0.004,226.2
2030,sc01,03-25 13:00:00+01:00,1267.728229,1647.6,0.4,229.2
2030,sc01,03-25 14:00:00+01:00,1278.974518,1464.8,1.2,226.2
2030,sc01,03-25 15:00:00+01:00,1279.36232,1114.8,6.4,226.2
2030,sc01,03-25 16:00:00+01:00,1295.262246,592,6.4,226.2
2030,sc01,03-25 17:00:00+01:00,1372.047254,0.02,372,223.8
2030,sc01,03-25 18:00:00+01:00,1482.183325,0.02,95.2,232.2
2030,sc01,03-25 19:00:00+01:00,1458.139534,0.02,167.2,226.2
2030,sc01,03-25 20:00:00+01:00,1405.78612,0.02,202.4,229.2
2030,sc01,03-25 21:00:00+01:00,1297.589065,0.02,581.6,226.2
2030,sc01,03-25 22:00:00+01:00,1195.209055,0.02,1062,226.2
2030,sc01,03-25 23:00:00+01:00,1162.633598,0.02,770.4,229.2
2030,sc01,03-26 00:00:00+01:00,1158.755566,0.02,415.2,166.8
2030,sc01,03-26 01:00:00+01:00,1154.489733,0.02,818.4,155.4
2030,sc01,03-26 02:00:00+01:00,1173.10428,0.02,728.8,155.4
2030,sc01,03-26 03:00:00+01:00,1213.047996,0.02,1221.6,153
2030,sc01,03-26 04:00:00+01:00,1348.003463,0.02,1326.8,155.4
2030,sc01,03-26 05:00:00+01:00,1526.780678,0.02,1235.6,155.4
2030,sc01,03-26 06:00:00+01:00,1534.536739,732.4,1217.2,161.4
2030,sc01,03-26 07:00:00+01:00,1451.15908,1160.8,420,232.2
2030,sc01,03-26 08:00:00+01:00,1361.188767,1448.8,56.4,232.2
2030,sc01,03-26 09:00:00+01:00,1311.549975,1613.6,7.2,232.2
2030,sc01,03-26 10:00:00+01:00,1267.340426,1702,17.6,232.2
2030,sc01,03-26 11:00:00+01:00,1235.928377,1727.2,16,229.2
2030,sc01,03-26 12:00:00+01:00,1212.27239,1673.2,8.4,235.2
2030,sc01,03-26 13:00:00+01:00,1197.535874,1586.4,4,229.2
2030,sc01,03-26 14:00:00+01:00,1180.860341,1486.8,9.2,232.2
2030,sc01,03-26 15:00:00+01:00,1191.718827,1145.6,8,232.2
2030,sc01,03-26 16:00:00+01:00,1201.413904,598.8,10.4,220.8
2030,sc01,03-26 17:00:00+01:00,1261.52338,0.02,169.6,220.8
2030,sc01,03-26 18:00:00+01:00,1375.537481,0.02,174,226.2
2030,sc01,03-26 19:00:00+01:00,1354.596115,0.02,628.8,229.2
2030,sc01,03-26 20:00:00+01:00,1313.488991,0.02,2371.2,226.2
2030,sc01,03-26 21:00:00+01:00,1210.333375,0.02,2584,138.6
2030,sc01,03-26 22:00:00+01:00,1112.607001,0.02,2627.2,93.6
2030,sc01,03-26 23:00:00+01:00,1065.68283,0.02,2674.4,87.6
2030,sc01,03-27 00:00:00+01:00,1049.782905,0.02,2671.2,79.2
2030,sc01,03-27 01:00:00+01:00,1046.68048,0.02,2601.2,76.2
2030,sc01,03-27 02:00:00+01:00,1064.131618,0.02,2556.4,79.2
2030,sc01,03-27 03:00:00+01:00,1109.89238,0.02,2532.4,153
2030,sc01,03-27 04:00:00+01:00,1226.621103,0.02,2546.8,155.4
2030,sc01,03-27 05:00:00+01:00,1364.678996,0.02,2538.8,226.2
2030,sc01,03-27 06:00:00+01:00,1388.722786,720.8,2533.2,232.2
2030,sc01,03-27 07:00:00+01:00,1333.65475,1133.6,2523.6,232.2
2030,sc01,03-27 08:00:00+01:00,1282.852548,1414.8,2500,232.2
2030,sc01,03-27 09:00:00+01:00,1255.706333,1547.6,2166.8,232.2
2030,sc01,03-27 10:00:00+01:00,1239.806407,1628.4,1739.2,232.2
2030,sc01,03-27 11:00:00+01:00,1230.111331,1659.2,1271.2,229.2
2030,sc01,03-27 12:00:00+01:00,1221.191861,1613.6,846.8,232.2
2030,sc01,03-27 13:00:00+01:00,1223.518679,1545.2,604.4,220.8
2030,sc01,03-27 14:00:00+01:00,1216.926027,1405.6,592.4,223.8
2030,sc01,03-27 15:00:00+01:00,1229.335725,1110.8,530.8,229.2
2030,sc01,03-27 16:00:00+01:00,1226.233301,585.2,788.8,192.6
2030,sc01,03-27 17:00:00+01:00,1264.625804,0.02,1730,144.6
2030,sc01,03-27 18:00:00+01:00,1362.73998,0.02,2244.4,144.6
2030,sc01,03-27 19:00:00+01:00,1339.083994,0.02,2446,138.6
2030,sc01,03-27 20:00:00+01:00,1281.68914,0.02,2598.4,79.2
2030,sc01,03-27 21:00:00+01:00,1185.126175,0.02,2656.8,79.2
2030,sc01,03-27 22:00:00+01:00,1080.031544,0.02,2675.2,56.4
2030,sc01,03-27 23:00:00+01:00,1023.412296,0.02,2710.8,70.8
2030,sc01,03-28 00:00:00+01:00,1005.185552,0.02,2753.2,73.8
2030,sc01,03-28 01:00:00+01:00,996.6538843,0.02,2440.4,79.2
2030,sc01,03-28 02:00:00+01:00,997.4294904,0.02,1979.6,82.2
2030,sc01,03-28 03:00:00+01:00,1032.331766,0.02,2213.6,155.4
2030,sc01,03-28 04:00:00+01:00,1118.424047,0.02,2515.6,155.4
2030,sc01,03-28 05:00:00+01:00,1237.867392,0.02,2544,220.8
2030,sc01,03-28 06:00:00+01:00,1277.035503,730.8,2484.4,232.2
2030,sc01,03-28 07:00:00+01:00,1268.503835,1132.8,1916.4,232.2
2030,sc01,03-28 08:00:00+01:00,1254.542925,1415.2,2413.2,232.2
2030,sc01,03-28 09:00:00+01:00,1248.338075,1535.2,2727.2,232.2
2030,sc01,03-28 10:00:00+01:00,1239.418605,1623.6,2466,232.2
2030,sc01,03-28 11:00:00+01:00,1237.867392,1646,1984,232.2
2030,sc01,03-28 12:00:00+01:00,1235.152771,1601.6,1340,232.2
2030,sc01,03-28 13:00:00+01:00,1239.030802,1512.8,710.4,229.2
2030,sc01,03-28 14:00:00+01:00,1233.213755,1393.6,717.6,235.2
2030,sc01,03-28 15:00:00+01:00,1235.152771,1104,523.6,226.2
2030,sc01,03-28 16:00:00+01:00,1236.31618,583.6,1200.4,153
2030,sc01,03-28 17:00:00+01:00,1261.135577,0.02,1158.8,130.2
2030,sc01,03-28 18:00:00+01:00,1333.65475,0.02,478.4,73.8
2030,sc01,03-28 19:00:00+01:00,1301.079293,0.02,271.2,73.8
2030,sc01,03-28 20:00:00+01:00,1253.379515,0.02,298,76.2
2030,sc01,03-28 21:00:00+01:00,1172.716477,0.02,37.2,73.8
2030,sc01,03-28 22:00:00+01:00,1083.133968,0.02,20.4,73.8
2030,sc01,03-28 23:00:00+01:00,1019.534265,0.02,39.6,54
2030,sc01,03-29 00:00:00+01:00,994.3270659,0.02,153.6,76.2
2030,sc01,03-29 01:00:00+01:00,976.8759277,0.02,1007.6,76.2
2030,sc01,03-29 02:00:00+01:00,975.3247156,0.02,1079.6,79.2
2030,sc01,03-29 03:00:00+01:00,983.8563829,0.02,467.6,76.2
2030,sc01,03-29 04:00:00+01:00,1023.800099,0.02,145.2,79.2
2030,sc01,03-29 05:00:00+01:00,1073.438892,0.02,52.8,76.2
2030,sc01,03-29 06:00:00+01:00,1114.93382,718.8,26,102
2030,sc01,03-29 07:00:00+01:00,1163.0214,1056.8,3.2,150
2030,sc01,03-29 08:00:00+01:00,1186.289585,1298.8,6,153
2030,sc01,03-29 09:00:00+01:00,1204.128526,1400,4,155.4
2030,sc01,03-29 10:00:00+01:00,1196.372464,1498.4,67.6,155.4
2030,sc01,03-29 11:00:00+01:00,1195.209055,1470.4,40.4,153
2030,sc01,03-29 12:00:00+01:00,1190.555418,1443.6,100,158.4
2030,sc01,03-29 13:00:00+01:00,1187.840797,1347.6,146.8,153
2030,sc01,03-29 14:00:00+01:00,1191.718827,1122,138.4,153
2030,sc01,03-29 15:00:00+01:00,1209.557768,998.8,11.6,158.4
2030,sc01,03-29 16:00:00+01:00,1220.416254,503.201,0.004,217.8
2030,sc01,03-29 17:00:00+01:00,1255.706333,0.02,621.6,181.2
2030,sc01,03-29 18:00:00+01:00,1316.203612,0.02,1011.6,178.2
2030,sc01,03-29 19:00:00+01:00,1294.098837,0.02,1328.4,175.2
2030,sc01,03-29 20:00:00+01:00,1233.601558,0.02,1874.4,107.4
2030,sc01,03-29 21:00:00+01:00,1153.326324,0.02,2236,65.4
2030,sc01,03-29 22:00:00+01:00,1070.336467,0.02,2388,25.2
2030,sc01,03-29 23:00:00+01:00,1004.797749,0.02,2612.8,22.8
2030,sc01,03-30 00:00:00+01:00,971.8344879,0.02,2784,99
2030,sc01,03-30 01:00:00+01:00,953.9955468,0.02,2798.8,102
2030,sc01,03-30 02:00:00+01:00,944.6882731,0.02,2770.8,107.4
2030,sc01,03-30 03:00:00+01:00,949.7297131,0.02,2742.8,158.4
2030,sc01,03-30 04:00:00+01:00,960.976002,0.02,2716.8,232.2
2030,sc01,03-30 05:00:00+01:00,985.4075953,0.02,2682.8,235.2
2030,sc01,03-30 06:00:00+01:00,1021.861084,733.6,2686,229.2
2030,sc01,03-30 07:00:00+01:00,1077.316922,1148,2324.4,237.6
2030,sc01,03-30 08:00:00+01:00,1114.158213,1417.2,2434.4,232.2
2030,sc01,03-30 09:00:00+01:00,1149.448293,1566.4,2293.6,235.2
2030,sc01,03-30 10:00:00+01:00,1161.470188,1628.4,2342,229.2
2030,sc01,03-30 11:00:00+01:00,1166.123825,1627.6,1983.2,237.6
2030,sc01,03-30 12:00:00+01:00,1169.614052,1613.6,1793.2,232.2
