,,,Length,LineType,InitialPeriod,FinalPeriod,Voltage,LossFactor,Resistance,Reactance,Susceptance,Tap,TTC,TTCBck,SecurityFactor,FixedInvestmentCost,FixedChargeRate,BinaryInvestment,Switching,SwOnTime,SwOffTime,Converter,AngMin,AngMax,InvestmentLo,InvestmentUp,Sensitivity,InvestmentFixed,SensitivityGroup,SensitivityGroupValue
bus025,bus027,cac2,,AC,2020,2050,100,,0.0318,0.163,0.1764,1,1700,1700,0.67,250,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus008,bus030,cac1,,AC,2020,2050,100,,0.001437,0.0168,1.542,1,1700,1700,0.67,250,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus026,bus030,cac1,,AC,2020,2050,100,,0.00799,0.086,0.908,1,1700,1700,0.67,250,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus026,bus030,cac2,,AC,2020,2050,100,,0.00799,0.086,0.908,1,1700,1700,0.67,250,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus023,bus032,cac1,,AC,2020,2050,100,,0.0317,0.1153,0.1173,1,600,600,0.67,100,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus023,bus032,cac2,,AC,2020,2050,100,,0.0317,0.1153,0.1173,1,600,600,0.67,100,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus015,bus033,cac1,,AC,2020,2050,100,,0.0127,0.041467,0.09582,1,1700,1700,0.67,250,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus015,bus033,cac2,,AC,2020,2050,100,,0.0127,0.041467,0.09582,1,1700,1700,0.67,250,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus033,bus037,cac1,,AC,2020,2050,100,,0.01383,0.0473,0.1098,1,1700,1700,0.67,250,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus038,bus037,cac1,,AC,2020,2050,100,,0,0.0375,0,0.935,1700,1700,0.67,250,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus038,bus037,cac2,,AC,2020,2050,100,,0,0.0375,0,0.935,1700,1700,0.67,250,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus030,bus038,cac1,,AC,2020,2050,100,,0.001547,0.018,1.266,1,1700,1700,0.67,250,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus038,bus065,cac1,,AC,2020,2050,100,,0.00901,0.0986,1.046,1,1700,1700,0.67,250,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus038,bus065,cac2,,AC,2020,2050,100,,0.00901,0.0986,1.046,1,1700,1700,0.67,250,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus064,bus065,cac1,,AC,2020,2050,100,,0.00269,0.0302,0.38,1,1700,1700,0.67,250,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus064,bus065,cac2,,AC,2020,2050,100,,0.00269,0.0302,0.38,1,1700,1700,0.67,250,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus065,bus068,cac1,,AC,2020,2050,100,,0.00138,0.016,0.638,1,1700,1700,0.67,250,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus065,bus068,cac2,,AC,2020,2050,100,,0.00138,0.016,0.638,1,1700,1700,0.67,250,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus068,bus069,cac1,,AC,2020,2050,100,,0,0.037,0,0.935,1700,1700,0.67,250,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus068,bus069,cac2,,AC,2020,2050,100,,0,0.037,0,0.935,1700,1700,0.67,250,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus074,bus075,cac1,,AC,2020,2050,100,,0.0041,0.01353,0.03102,1,1700,1700,0.67,250,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus069,bus077,cac1,,AC,2020,2050,100,,0.00515,0.01675,0.6228,1,3500,3500,0.67,500,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus069,bus077,cac2,,AC,2020,2050,100,,0.00515,0.01675,0.6228,1,3500,3500,0.67,500,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus077,bus082,cac1,,AC,2020,2050,100,,0.0149,0.04265,0.16348,1,1400,1400,0.67,200,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus082,bus083,cac1,,AC,2020,2050,100,,0.0112,0.03665,0.03796,1,1700,1700,0.67,250,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus082,bus083,cac2,,AC,2020,2050,100,,0.0112,0.03665,0.03796,1,1700,1700,0.67,250,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus092,bus093,cac2,,AC,2020,2050,100,,0.0258,0.0848,0.0218,1,600,600,0.67,100,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus093,bus094,cac1,,AC,2020,2050,100,,0.0223,0.0732,0.01876,1,600,600,0.67,100,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus093,bus094,cac2,,AC,2020,2050,100,,0.0223,0.0732,0.01876,1,600,600,0.67,100,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus080,bus099,cac1,,AC,2020,2050,100,,0.0454,0.206,0.0546,1,700,700,0.67,125,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus080,bus099,cac2,,AC,2020,2050,100,,0.0454,0.206,0.0546,1,700,700,0.67,125,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus094,bus100,cac1,,AC,2020,2050,100,,0.0178,0.058,0.0604,1,600,600,0.67,100,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus094,bus100,cac2,,AC,2020,2050,100,,0.0178,0.058,0.0604,1,600,600,0.67,100,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus099,bus100,cac1,,AC,2020,2050,100,,0.018,0.0813,0.0216,1,600,600,0.67,100,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus099,bus100,cac2,,AC,2020,2050,100,,0.018,0.0813,0.0216,1,600,600,0.67,100,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus017,bus113,cac1,,AC,2020,2050,100,,0.00913,0.0301,0.00768,1,600,600,0.67,100,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus017,bus113,cac2,,AC,2020,2050,100,,0.00913,0.0301,0.00768,1,600,600,0.67,100,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus012,bus117,cac1,,AC,2020,2050,100,,0.0329,0.14,0.0358,1,600,600,0.67,100,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
bus012,bus117,cac2,,AC,2020,2050,100,,0.0329,0.14,0.0358,1,600,600,0.67,100,0.075,Yes,,,,,-1.047197551,1.047197551,,,,,,
